Node,Group,State,criminal_activities,drug_trafficking,armed_conflicts,nonviolent_presence,action_guber
N10001,ACME,Ciudad de México,1,1,0,0,0
N10002,Banda de El Perro,Ciudad de México,0,0,0,0,0
N10003,Caballeros Templarios,Colima,1,0,0,0,0
N10004,Cártel de Caborca,Sonora,1,1,1,0,0
N10005,Cártel de Juárez,Chihuahua,0,0,1,0,0
N10006,Cártel de Los Alemanes,San Luis Potosí,0,0,1,0,0
N10007,Cártel de Los Arellano Félix,Querétaro,0,0,1,0,1
N10008,Cártel de los Beltrán Leyva,Ciudad de México,1,1,1,0,0
N10009,Cártel de Los Pantoja Parada,Oaxaca,0,0,0,0,0
N10010,Cártel de Los Tequileros,Guerrero,0,0,1,0,0
N10011,Cártel de Oaxaca,Yucatán,0,1,0,0,0
N10012,Cártel de Santa Rosa de Lima,Yucatán,0,0,1,0,1
N10013,Cártel de Sinaloa,Durango,0,0,0,0,0
N10014,Cártel de Telpacatepec,Michoacán,0,0,1,1,0
N10015,Cártel de Tláhuac,Ciudad de México,0,0,0,0,0
N10016,Cártel del Abuelo,Michoacán,0,1,0,0,0
N10017,Cártel del Golfo,Quintana Roo,0,0,1,0,0
N10018,Cártel del Golfo Nueva Era,Tamaulipas,0,0,0,0,0
N10019,Cártel del Noreste,Campeche,0,0,1,0,0
N10020,Cártel del Poniente o La Laguna,Chihuahua,0,1,1,0,0
N10021,Cártel del Siglo,Veracruz,1,0,1,0,0
N10022,Cártel del Sur,Guerrero,0,0,1,0,0
N10023,Cártel en Nochistlán,Zacatecas,1,1,0,0,0
N10024,Cártel Independiente de Acapulco,Guerrero,0,0,1,0,0
N10025,Cártel Jalisco Nueva Generación (CJNG),Jalisco,1,0,1,0,0
N10026,Cártel Los Epitacio,Yucatán,0,0,0,0,0
N10027,Cártel Nueva Plaza,Guanajuato,0,1,0,0,0
N10028,Cártel Pura Gente Nueva,Campeche,1,0,1,0,0
N10029,Cártel San Luis Potosí Nueva Generación (CSLPNG),San Luis Potosí,1,0,0,0,1
N10030,Cártel Tijuana Nueva Generación,Baja California,0,0,1,0,1
N10031,Cártel Zicuirán Nueva Generación,Michoacán,0,0,0,0,1
N10032,Cárteles Unidos,Veracruz,0,1,1,0,0
N10033,"Célula liderada por Alfonso Arzate García, El Aquiles",Baja California,0,1,0,1,0
N10034,Célula liderada por El Balín,Ciudad de México,0,0,1,0,0
N10035,CJNG Comando la Mancha,Baja California,1,1,1,0,0
N10036,Comandante Coronavirus,Quintana Roo,0,0,1,0,0
N10037,Durangos/Cazadores,Sonora,0,0,1,0,0
N10038,Ejército Revolucionario del Pueblo Insurgente (ERPI),Guerrero,0,0,0,0,0
N10039,El Araña,Ciudad de México,0,0,0,0,0
N10040,El Cano,Ciudad de México,0,0,1,0,0
N10041,El Chepe,Ciudad de México,0,0,1,0,0
N10042,El Espárragos,Ciudad de México,1,1,0,0,0
N10043,El H,Ciudad de México,1,1,0,0,0
N10044,El Jardinero,Nayarit,1,1,0,0,0
N10045,El Loco Téllez,Puebla,0,0,0,0,0
N10046,El Nopa,Ciudad de México,1,1,1,0,0
N10047,El Patines,Ciudad de México,1,1,0,0,0
N10048,El Pechugas,Ciudad de México,1,1,0,0,0
N10049,El Richis,Ciudad de México,1,1,0,0,0
N10050,El Robert,Ciudad de México,1,1,0,0,0
N10051,El Señor de la V,Morelos,0,0,1,0,0
N10052,El Señor de la Virgen,Michoacán,0,0,0,0,0
N10053,El Señorón,Morelos,0,0,0,1,0
N10054,El Temerario,Morelos,0,0,0,1,0
N10055,Familia La Cruz,Ciudad de México,0,0,0,0,0
N10056,"Francisco Javier Arvizo Márquez, El Jaguar",Chihuahua,1,1,0,0,0
N10057,Fuerza Anti-Unión Tepito,Ciudad de México,1,1,1,0,0
N10058,Gente Nueva,Sinaloa,1,1,0,0,0
N10059,Grupo de Narco Rap,Tamaulipas,1,1,1,1,1
N10060,Grupo Élite del CJNG,Guanajuato,0,0,1,0,0
N10061,Grupo Sombra,Veracruz,0,0,0,0,0
N10062,Güero Fresa,Ciudad de México,0,0,0,1,0
N10063,Guerreros Unidos,Guerrero,1,1,0,0,0
N10064,Juan Balta,Ciudad de México,1,1,1,0,1
N10065,"Juan L. (El Moco), líder huachicolero",Tlaxcala,1,1,0,0,0
N10066,La Anti-Unión o La Rosa Nueva,Ciudad de México,1,1,0,1,1
N10067,La banda de El Tigre,Baja California,1,1,1,0,0
N10068,La Banda del Bucanas,Veracruz,0,0,0,0,0
N10069,La Bandera,Guerrero,1,0,0,0,0
N10070,La Barredora 24/7,Sonora,1,1,1,0,1
N10071,La Emperatriz,Sinaloa,0,0,0,0,0
N10072,La Gran Familia Mexicana,Puebla,1,0,0,0,0
N10073,La Guardia Guerrerense,Guerrero,1,1,0,0,1
N10074,La Guera,Chihuahua,0,1,1,0,0
N10075,La Línea,Chihuahua,0,0,0,0,0
N10076,La Nueva Familia Michoacana,Ciudad de México,0,0,1,0,0
N10077,"La Reina del Sur, Cecilia “V""",Puebla,0,0,0,0,1
N10078,La Ronda 88 / Fabian R88,Ciudad de México,1,1,0,0,1
N10079,La Tripa,Morelos,1,0,0,0,0
N10080,La Unión León,Guanajuato,0,0,0,0,0
N10081,La Unión Tepito,Ciudad de México,1,1,1,0,0
N10082,Lenin Canchola,Ciudad de México,1,0,0,0,0
N10083,Los Ántrax,Veracruz,1,1,1,0,0
N10084,Los Ardillos,Guerrero,0,0,0,0,0
N10085,Los Artistas Asesinos o Doble A,Chihuahua,1,0,1,0,0
N10086,Los Benjas,Ciudad de México,0,1,0,0,0
N10087,Los Blancos de Troya,Michoacán,0,0,0,1,0
N10088,Los Cabos,Baja California,0,0,1,0,0
N10089,Los Cabrera,Chihuahua,0,0,0,0,1
N10090,Los Changos,Ciudad de México,0,0,0,1,0
N10091,Los Chapitos,Baja California,1,1,0,0,0
N10092,Los Chilas,Ciudad de México,1,1,0,0,0
N10093,Los Chimales,Sinaloa,0,0,0,0,0
N10094,Los Chukys,Oaxaca,0,0,1,0,1
N10095,Los Colombianos,Morelos,0,0,1,0,0
N10096,Los Cuinis,Jalisco,1,1,0,0,1
N10097,Los Dámasos/Fuerzas especiales Dámaso,Sinaloa,0,0,0,0,0
N10098,Los Durangos,Guanajuato,1,1,0,0,0
N10099,Los Erres,Baja California,0,1,1,0,0
N10100,Los Estúpidos,Ciudad de México,1,1,0,0,0
N10101,Los Guerreros,Jalisco,1,1,0,0,0
N10102,Los Jaguares,Sinaloa,0,0,0,0,0
N10103,Los Linos,Morelos,0,0,0,0,0
N10104,Los Lobos,Sinaloa,0,0,0,0,0
N10105,Los Maceros,Ciudad de México,1,1,1,0,0
N10106,Los Marcopolos,Ciudad de México,0,0,0,0,0
N10107,Los Mayas,Ciudad de México,0,1,1,0,0
N10108,Los Metros,Tamaulipas,0,0,0,0,0
N10109,Los Mexicles,Chihuahua,1,0,1,0,0
N10110,Los Mojarras,Ciudad de México,0,0,0,0,0
N10111,Los Molina,Ciudad de México,0,0,0,1,0
N10112,Los Negros,Ciudad de México,1,1,0,0,0
N10113,Los Ninis,Sinaloa,0,0,1,0,0
N10114,Los Páez,Sonora,0,1,1,0,0
N10115,Los Papayos,Ciudad de México,1,1,0,0,0
N10116,Los Pelones,Quintana Roo,1,1,0,0,1
N10117,Los Piña,Veracruz,1,0,1,0,0
N10118,Los R4,Baja California,0,0,0,0,0
N10119,Los Rodolfos,Ciudad de México,1,1,1,0,0
N10120,Los Rojos,Ciudad de México,1,1,0,0,0
N10121,Los Rudos,Ciudad de México,1,1,0,0,0
N10122,Los Rusos,Sinaloa,0,0,1,0,0
N10123,Los Salazares,Chihuahua,0,0,1,1,0
N10124,Los Salgueiro,Chihuahua,0,0,0,1,0
N10125,Los Siete Demonios,Sonora,1,1,1,0,0
N10126,Los Sinaloas,Ciudad de México,0,1,1,0,1
N10127,Los Talibanes,San Luis Potosí,0,0,0,0,0
N10128,Los Tanzanios,Ciudad de México,1,1,0,0,0
N10129,Los Tequileros,Guerrero,0,0,0,0,0
N10130,Los Tlacos (Cartel de la Sierra),Guerrero,1,1,0,0,0
N10131,Los Tlahuicas,Morelos,1,1,0,0,1
N10132,Los Treviño,Nuevo León,0,0,0,0,0
N10133,Los Viagras,Michoacán,0,0,0,1,0
N10134,Los Zetas,Yucatán,1,0,0,0,0
N10135,Maestrin,Ciudad de México,1,0,1,0,0
N10136,Mando Sur Gente Nueva,Veracruz,0,0,0,0,0
N10137,Mazatlecos,Sinaloa,1,0,0,0,1
N10138,MZ,Zacatecas,0,0,1,0,0
N10139,Nuevo Cártel de Juárez,Chihuahua,0,0,1,0,1
N10140,Paco Pacas,Ciudad de México,1,1,0,0,0
N10141,Pedro Aviles Salazar,Guerrero,0,0,1,0,0
N10142,Robles,Ciudad de México,1,1,0,0,0
N10143,Sangre Nueva Zeta,Campeche,1,0,0,0,0
N10144,Sindicato Libertad,Ciudad de México,1,1,0,0,0
N10145,Tercera Acción Destructiva (3AD),Ciudad de México,1,1,0,0,0
N10146,Tláhuac-Barbas,Ciudad de México,1,1,0,0,0
N10147,Tropa del Infierno,Tamaulipas,0,0,1,0,0
N10148,U o la UVA,Ciudad de México,0,0,0,0,0
N10149,Unión de Pueblos y Organizaciones del Estado de Guerrero (UPOEG) ,Guerrero,1,0,1,0,0
N10150,Zetas Vieja Escuela,Tamaulipas,1,1,0,0,0